index,timestamp,x,y,z,Qx,Qy,Qz,Qw
83,1722943173.319014,3.142652,3.324002,-0.303959,-0.016869,0.011195,0.999379,-0.028855
84,1722943173.585896,3.145488,3.327311,-0.316100,-0.044632,0.020606,0.998368,-0.029058
85,1722943174.120062,3.144267,3.315052,-0.034202,-0.035438,0.023749,0.998460,-0.035471
86,1722943175.054747,2.910191,3.266981,-0.038965,-0.007667,0.018182,0.998995,-0.040248
87,1722943175.321768,2.761107,3.279669,-0.016148,0.013761,0.009734,0.998445,-0.053142
88,1722943175.989442,2.419949,3.258295,-0.030561,0.018836,0.010228,0.999531,-0.021886
89,1722943176.256537,2.298492,3.242337,-0.023461,0.028179,0.031146,0.996688,0.069635
90,1722943176.523732,2.207185,3.252062,-0.019620,0.025353,0.038054,0.985815,0.161489
91,1722943176.790709,2.143349,3.303673,-0.040605,0.020629,0.043907,0.968329,0.244918
92,1722943177.057620,2.066779,3.371210,-0.043022,0.025304,0.053155,0.945807,0.319347
93,1722943177.324803,2.022532,3.462709,-0.039194,0.039496,0.041594,0.912931,0.404063
94,1722943177.591980,1.995560,3.560969,-0.041861,0.020679,0.032817,0.874070,0.484248
95,1722943177.859382,1.952181,3.677764,-0.053499,0.019614,0.018368,0.833221,0.552287
96,1722943178.126430,1.905130,3.812955,-0.039080,0.029908,0.013683,0.787103,0.615944
97,1722943178.393617,1.885016,3.942215,-0.032647,0.026163,0.006441,0.746121,0.665264
98,1722943178.660099,1.891333,4.082978,-0.052452,0.025847,0.004067,0.731601,0.681231
99,1722943179.461357,1.885953,4.521848,-0.053125,0.018989,-0.007204,0.720565,0.693090
100,1722943180.128813,1.821893,4.848370,-0.039811,0.006682,-0.003241,0.734995,0.678031
101,1722943180.395849,1.815293,4.929229,-0.057336,-0.001940,-0.005165,0.786524,0.617535
102,1722943180.662870,1.810605,5.073049,-0.041143,-0.005756,-0.015268,0.856300,0.516222
103,1722943180.930077,1.763529,5.165537,-0.042116,-0.016444,-0.023818,0.922706,0.384416
104,1722943181.197168,1.690818,5.204130,-0.059105,-0.011278,-0.018212,0.965132,0.260885
105,1722943181.464115,1.634963,5.215916,-0.056992,-0.002049,0.000443,0.987571,0.157161
106,1722943181.731221,1.583107,5.192075,-0.055484,-0.009342,-0.005553,0.997368,0.071681
107,1722943182.131694,1.484820,5.208096,-0.054132,-0.009719,-0.003619,0.999911,0.008416
108,1722943182.532851,1.398844,5.222941,-0.050381,0.015399,0.006919,0.999836,0.006525
109,1722943183.199960,1.290372,5.225666,-0.136455,0.005130,0.009835,0.999706,-0.021565
110,1722943183.467085,1.276400,5.234246,-0.260094,-0.028704,0.005414,0.998799,-0.039334
111,1722943184.134722,1.233589,5.224632,-0.100049,-0.030697,0.002461,0.998637,-0.042137
112,1722943184.401838,1.231383,5.204901,-0.042289,-0.017359,0.025192,0.999334,-0.019895
113,1722943184.668896,1.201106,5.191126,-0.034651,-0.020910,0.026652,0.999290,0.016488
114,1722943184.935922,1.125904,5.191696,-0.043255,-0.020131,0.026030,0.997907,0.055666
115,1722943185.203013,0.999128,5.217552,-0.048864,-0.011276,0.018460,0.995881,0.088053
116,1722943185.469977,0.857884,5.255102,-0.023142,0.011196,0.014965,0.992523,0.120615
117,1722943185.737165,0.726668,5.288417,-0.028696,0.005383,0.011584,0.987704,0.155816
118,1722943186.004149,0.583623,5.324520,-0.033405,0.020176,0.008959,0.978641,0.204390
119,1722943186.271143,0.450094,5.359340,-0.014618,0.025351,0.013206,0.965572,0.258560
120,1722943186.538268,0.347220,5.417615,-0.020910,0.017964,0.011026,0.959185,0.281994
121,1722943186.938805,0.202845,5.567430,-0.024153,0.022734,-0.009737,0.965849,0.257923
122,1722943187.205896,0.111457,5.648228,-0.024471,0.016098,-0.002561,0.973580,0.227763
123,1722943187.606486,-0.035024,5.741519,-0.042734,0.018810,-0.006277,0.982755,0.183844
124,1722943187.873572,-0.138362,5.787827,-0.047690,0.011768,-0.002989,0.990984,0.133427
125,1722943188.140515,-0.239518,5.830856,-0.051487,0.010411,-0.013802,0.999167,0.036971
126,1722943188.407549,-0.330917,5.854972,-0.046748,0.001352,-0.017028,0.996019,-0.087489
127,1722943188.674592,-0.426622,5.854704,-0.054846,0.001783,-0.017782,0.982295,-0.186487
128,1722943188.941737,-0.527974,5.815734,-0.059484,0.013940,-0.011644,0.955215,-0.295353
129,1722943189.208804,-0.601429,5.745549,-0.051648,0.019911,0.000631,0.904985,-0.424976
130,1722943189.475776,-0.657746,5.670135,-0.058645,-0.016272,0.003835,-0.817275,0.576005
131,1722943189.742755,-0.725740,5.588502,-0.044252,-0.020165,0.013783,-0.695400,0.718207
132,1722943190.009916,-0.743511,5.519601,-0.036190,-0.020743,0.010973,-0.587144,0.809142
133,1722943190.277018,-0.735776,5.453919,-0.033563,-0.021051,-0.008367,-0.491528,0.870567
134,1722943190.543955,-0.716233,5.393463,-0.030571,-0.025886,-0.017189,-0.397028,0.917280
135,1722943190.811288,-0.708003,5.346106,-0.033779,-0.036862,-0.016109,-0.306106,0.951147
136,1722943191.078738,-0.727143,5.348869,-0.073270,-0.041887,-0.003885,-0.229556,0.972386
137,1722943191.345306,-0.801394,5.341643,-0.171882,-0.024311,0.012746,-0.191550,0.981099
138,1722943191.745842,-0.841518,5.310354,-0.339120,0.010814,0.038798,-0.175117,0.983723
139,1722943192.146376,-0.810831,5.316087,-0.151172,0.012846,0.007217,-0.162086,0.986667
140,1722943192.413429,-0.779717,5.300792,-0.077272,-0.001980,-0.014693,-0.121959,0.992424
141,1722943192.680567,-0.721451,5.297521,-0.065786,0.004340,-0.000668,-0.071783,0.997411
142,1722943192.947464,-0.623709,5.296457,-0.062939,0.001503,0.012297,-0.053660,0.998482
143,1722943193.348091,-0.389386,5.284026,-0.047669,-0.008550,-0.005202,-0.047221,0.998834
144,1722943193.882312,-0.068848,5.227269,-0.071290,-0.019227,-0.010818,-0.013634,0.999664
145,1722943194.149479,0.117409,5.195617,-0.058238,-0.025058,-0.014442,0.012986,0.999497
146,1722943195.484743,0.868733,5.151894,-0.094684,-0.003616,-0.021151,0.005299,0.999756
147,1722943195.885280,1.064377,5.138357,-0.069617,0.010863,-0.023694,-0.029153,0.999235
148,1722943196.152291,1.188832,5.095003,-0.084636,0.021184,-0.017588,-0.129212,0.991235
149,1722943196.419287,1.273540,5.045896,-0.087005,0.030763,-0.026104,-0.282162,0.958518
150,1722943196.686342,1.317268,4.996971,-0.083936,0.030689,-0.025055,-0.435464,0.899334
151,1722943196.953546,1.276712,4.953179,-0.083598,0.019109,-0.027317,-0.536126,0.843480
152,1722943197.220762,1.283832,4.874625,-0.095179,0.015622,-0.045072,-0.589497,0.806361
153,1722943197.487595,1.310352,4.846368,-0.076671,0.007418,-0.043786,-0.615812,0.786640
154,1722943197.754595,1.345299,4.787540,-0.082457,0.002700,-0.032416,-0.638797,0.768687
155,1722943198.021677,1.402668,4.676551,-0.083781,0.005786,-0.040179,-0.674999,0.736701
156,1722943198.288818,1.449877,4.592105,-0.064997,0.010355,-0.036954,-0.714875,0.698199
157,1722943198.555755,1.468424,4.479067,-0.071358,-0.002616,-0.028607,-0.735883,0.676499
158,1722943198.956461,1.495980,4.190196,-0.065584,-0.009451,-0.037487,-0.760518,0.648165
159,1722943199.223350,1.497884,4.000850,-0.064691,-0.009272,-0.028902,-0.798850,0.600764
160,1722943199.490405,1.490678,3.839441,-0.079437,-0.020703,-0.038805,-0.862503,0.504137
161,1722943199.757499,1.462880,3.779826,-0.058093,0.013988,0.043308,0.917681,-0.394702
162,1722943200.024566,1.414521,3.694063,-0.063723,0.016239,0.031518,0.944275,-0.327244
163,1722943200.291564,1.326617,3.593280,-0.071474,0.024648,0.027466,0.958110,-0.284014
164,1722943200.692155,1.212528,3.473029,-0.045170,0.026736,0.007256,0.976884,-0.211968
165,1722943200.959269,1.132926,3.401452,-0.057301,0.034958,0.006052,0.989924,-0.137081
166,1722943201.226336,1.051440,3.336778,-0.047832,0.039329,0.020095,0.996367,-0.072812
167,1722943201.493442,0.965516,3.292130,-0.042811,0.036729,0.006012,0.998155,-0.047963
168,1722943202.161175,0.910412,3.285151,-0.138432,0.004313,-0.015898,0.999202,-0.036375
169,1722943202.428003,0.900826,3.290065,-0.328138,-0.007844,0.011442,0.999502,-0.028339
170,1722943202.962235,0.777465,3.211613,-0.121844,-0.019056,0.029496,0.998286,-0.046808
171,1722943203.363393,0.763308,3.187761,0.007867,-0.015361,0.011130,0.999611,-0.020447
172,1722943204.163859,0.680874,3.143722,-0.020802,-0.023803,0.017073,0.999517,0.010390
173,1722943204.697991,0.360333,3.147056,-0.021709,0.008775,-0.002552,0.999921,-0.008573
174,1722943205.232149,-0.025691,3.109590,-0.043973,0.032853,-0.005981,0.999237,-0.020232
175,1722943206.033577,-0.552162,3.111519,-0.028081,0.052463,-0.010138,0.996391,-0.065949
176,1722943206.300982,-0.680070,3.095236,-0.027925,0.046840,-0.008051,0.993665,-0.101835
177,1722943207.235033,-0.834727,3.079781,-0.233553,0.023125,0.024995,0.995331,-0.090316
178,1722943207.502109,-0.859640,3.104852,-0.365119,-0.031207,0.013640,0.995826,-0.084678
179,1722943207.902680,-0.912091,3.107779,-0.195724,-0.033876,0.024058,0.991809,-0.120782
180,1722943208.169837,-0.886471,3.109365,-0.027672,0.003195,0.005541,0.989974,-0.141106
181,1722943208.436938,-0.949867,3.087162,-0.038379,-0.005838,0.006161,0.986237,-0.165120
182,1722943208.703958,-1.059731,3.011607,-0.045143,0.012252,0.011284,0.981115,-0.192706
183,1722943209.772183,-1.598952,2.706368,-0.051673,0.020689,0.024054,0.987345,-0.155379
184,1722943210.306872,-1.831442,2.535746,-0.064435,0.029879,0.014335,0.994737,-0.096950
185,1722943210.573868,-1.925126,2.489240,-0.021539,0.052353,0.012181,0.997775,-0.039432
186,1722943210.974518,-2.009794,2.448268,-0.048368,0.027134,0.000715,0.999390,-0.021981
187,1722943211.642161,-2.121739,2.396180,-0.182141,0.019456,-0.000862,0.999586,-0.021199
